;Full_address;Latitude;Longitude;room_price
35; via dei Monti Tiburtini 489, Roma, Italy;41.916.526.700.000.000;12.544.608.300.000.000;550.0
36; viale di Porta Tiburtina 2, Roma, Italy;41.897.904.700.000.000;125.102.404;550.0
37; via dei Bichi 31, Roma, Italy;418.823.352;124.227.149;380.0
38; via Paolo Segneri 15, Roma, Italy;418.752.452;124.647.037;500.0
39; largo Virgilio Brocchi 68, Roma, Italy;418.428.677;12.491.539.900.000.000;400.0
40; via Cesare Rasponi, Roma, Italy;41.920.351.700.000.000;12.525.019.699.999.900;450.0
41; via Don Filippo Rinaldi 16, Roma, Italy;418.762.776;12.529.717.100.000.000;500.0
42; via Severo Carmignano 9, Roma, Italy;41.868.933.899.999.900;124.449.168;400.0
43; via Nomentana 93, Roma, Italy;41.911.289.700.000.000;125.038.311;390.0
44; via Gian Luca Squarcialupo 36, Roma, Italy;419.129.508;125.266.195;450.0
45; via Vincenzo Coronelli, Roma, Italy;418.853.262;125.333.021;360.0
46; via Lucca 33, Roma, Italy;419.094.213;125.177.033;620.0
47; via di Pietralata 430, Roma, Italy;419.267.886;125.305.166;300.0
48; via Lionello Venturi, Roma, Italy;42.004.731;1.247.157;300.0
49; piazza del Lavoro, Roma, Italy;41.845.616.299.999.900;12.477.184.199.999.900;350.0
50; via Pietro Mascagni, Roma, Italy;41.934.684.499.999.900;12.519.949.800.000.000;380.0
51; via Alessandria 184, Roma, Italy;41.914.514.399.999.900;125.066.591;350.0
52; via Bartolomeo Cueva 15, Roma, Italy;419.343.221;12.422.484.800.000.000;380.0
53; via Annibale De Gasparis 60, Roma, Italy;418.248.131;124.911.177;350.0
54; via Filippi 9, Roma, Italy;4.185.440.620.000.000;124.746.465;500.0
55; via San Gimignano 29, Roma, Italy;419.740.402;12.510.259.300.000.000;290.0
56; via Massaciuccoli 14, Roma, Italy;419.262.903;1.251.485;550.0
57; via Filippo Turati, Roma, Italy;41.896.663.700.000.000;125.054.344;500.0
58; via Filippo Nicolai 90, Roma, Italy;41.915.289;124.412.038;450.0
59; via Savoia 44, Roma, Italy;419.140.429;12.502.205;700.0
60; via Tiburtina 548, Roma, Italy;41.919.546.200.000.000;125.653.478;370.0
61; via Chisimaio 32, Roma, Italy;419.281.957;125.229.075;450.0
62; via Monte delle Gioie 20, Roma, Italy;41.931.971.999.999.900;125.121.534;440.0
63; via Vittorio Locchi 8, Roma, Italy;41.924.322.700.000.000;124.916.717;500.0
64; piazza San Saturnino, Roma, Italy;419.230.575;125.079.018;500.0
65; via Cesare Baronio 38, Roma, Italy;41.874.077;12.521.686.500.000.000;900.0
66; via Monte Pertica, Roma, Italy;419.192.093;124.598.549;500.0
67; via Scribonio Curione, Roma, Italy;418.634.756;125.537.115;360.0
68; via Ostiense 361, Roma, Italy;418.532.789;124.773.507;420.0
69; piazza Gaspare Ambrosini 25, Roma, Italy;41.949.796;12.583.749.099.999.900;290.0
70; via di Valle Aurelia, Roma, Italy;419.213.941;12.432.457.199.999.900;800.0
71;  via Giovanni da Procida, Roma, Italy;419.122.078;125.251.431;450.0
72; via Nocera Umbra, Roma, Italy;41.880.044.399.999.900;12.531.804.199.999.900;450.0
73; via Bixio 71, Roma, Italy;418.927.586;125.077.965;500.0
74; via Federico Ozanam 44, Roma, Italy;418.752.699;124.466.619;480.0
75; via Cardinale Garampi 152, Roma, Italy;419.123.318;124.217.672;350.0
76; via Giovanni della Casa, Roma, Italy;419.456.624;12.418.432.800.000.000;350.0
77; via Francesco Satolli 6, Roma, Italy;41.894.209.499.999.900;124.393.663;466.0
78; via Gibilmanna, Roma, Italy;4.184.721.210.000.000;124.766.045;440.0
79; via Paolo Farinata 4, Roma, Italy;41.870.800.200.000.000;12.641.371.699.999.900;320.0
80; via Gerace 3, Roma, Italy;418.823.525;12.519.810.699.999.900;375.0
81; via Germanico, Roma, Italy;41.908.486.700.000.000;124.609.091;500.0
82; via Arezzo 38, Roma, Italy;41.911.269.299.999.900;125.185.563;500.0
83; via Alberto Bolognetti 11, Roma, Italy;41.915.863;12.422.522.099.999.900;350.0
84; viale Giulio Cesare, Roma, Italy;419.116.588;124.672.507;650.0
85; via Augusto Vera 19, Roma, Italy;418.452.935;124.875.348;350.0
86; via Giotto Dainelli, Roma, Italy;419.878.935;125.554.793;600.0
